customer_id,customer_name,customer_email,customer_lifetime_value,customer_reliability
CUST00001,Aryan Maharaj,udantdewan@example.net,321516.27,0.5607546247457468
CUST00002,Gagan Sami,balangirik@example.org,141139.51,0.6459806174039938
CUST00003,Yashasvi Bala,onikannan@example.com,369553.25,0.8409807795918518
CUST00004,Abeer Dutta,roak@example.org,446628.89,0.5873836980306489
CUST00005,Gayathri Chaudry,raigunbir@example.com,213851.3,0.5628128043583703
CUST00006,Aishani Bassi,hyadav@example.com,113225.8,0.7673027738844458
CUST00007,Chaaya Pathak,ekarajbath@example.net,18135.3,0.6355001897952589
CUST00008,Bimala Buch,harrisonrai@example.com,326692.8,0.7843248366593831
CUST00009,Janya Gaba,isha34@example.net,114118.11,0.8033842440666408
CUST00010,Onveer Walla,nihalshere@example.com,405668.08,0.5527944666615663
CUST00011,Theodore Nair,karnikazad@example.com,403880.53,0.8501999398449376
CUST00012,Amrita Bhatti,divyakala@example.net,173424.01,0.6168561849190661
CUST00013,Meghana Shanker,alkadewan@example.org,478820.47,0.6947356543984295
CUST00014,Priya Rastogi,theodore28@example.com,50909.19,0.5915880420383895
CUST00015,Champak Choudhary,nathanielsami@example.net,424509.71,0.8096021934877632
CUST00016,Lekha Raj,qwadhwa@example.net,404528.5,0.8637846682783417
CUST00017,Ishwar Yadav,harini14@example.com,270432.91,0.9684397785111294
CUST00018,Sudiksha Aggarwal,xiti28@example.org,192374.52,0.7873774714474876
CUST00019,Yashica Issac,kashviedwin@example.net,415555.31,0.8159634935166258
CUST00020,Ekiya Suresh,choudhuryjanani@example.com,431544.92,0.7982614224604077
CUST00021,Dalbir Khosla,chadavedika@example.org,353763.06,0.5697044849719348
CUST00022,Kabir Soman,alkawable@example.net,117809.65,0.6744368243489061
CUST00023,Siddharth Zacharia,devikarastogi@example.net,44497.03,0.650100081135243
CUST00024,Raksha Varughese,pdara@example.org,54995.71,0.6695286493373396
CUST00025,Hamsini Bail,thomasamble@example.org,319663.8,0.7068778369571362
CUST00026,Veer Bir,narayananekavir@example.net,188239.58,0.6400880232317397
CUST00027,Arya Sunder,kevinsolanki@example.org,137154.02,0.9527614727163725
CUST00028,Niharika Gupta,chatterjeeraagini@example.com,325777.52,0.8119263324368049
CUST00029,Nirja Sibal,chaudharidarsh@example.com,89713.63,0.8635245231186501
CUST00030,Ikbal Kothari,ranveeryadav@example.com,85884.23,0.7131658399557885
CUST00031,Pahal Goswami,turvi31@example.com,494814.06,0.8251998967372599
CUST00032,Chandresh Zachariah,chanderwarjas@example.org,280690.12,0.8443841279256461
CUST00033,Vedika Srivastava,nandinibhargava@example.org,422211.7,0.8836799619648852
CUST00034,Aarnav Ramakrishnan,suhani46@example.net,118378.8,0.5638031048787363
CUST00035,Mohammed Gupta,teerth09@example.net,161149.26,0.6651285766695522
CUST00036,Dipta Bhandari,soodyadavi@example.net,109436.51,0.9554511771640735
CUST00037,Dakshesh Trivedi,grewalekapad@example.net,438801.98,0.6853114887433456
CUST00038,Wahab Raval,koshybalveer@example.net,329442.14,0.7201217174560857
CUST00039,Oni Virk,advika35@example.org,457701.06,0.7473062966125815
CUST00040,Meghana Deep,tanvi51@example.org,136115.68,0.6560498283084129
CUST00041,Harish Borah,yashawinilanka@example.org,282877.23,0.6629788916648622
CUST00042,Ekapad Konda,bhavani27@example.net,294370.07,0.9360638399490651
CUST00043,Abhiram Mistry,desaiaishani@example.org,202703.25,0.6443079264376319
CUST00044,Nachiket Magar,shivansh53@example.net,498781.12,0.7690963062808798
CUST00045,Yashasvi Suresh,charan16@example.com,50000.16,0.5702600414326359
CUST00046,Aarush Nath,adwetaedwin@example.net,59276.32,0.8198017979323287
CUST00047,Prisha Andra,borramanthan@example.net,397079.29,0.7315287857238642
CUST00048,Kala Divan,cdatta@example.com,36446.21,0.7140962931978108
CUST00049,Balveer Parmar,zaidchauhan@example.com,498080.08,0.7775191683926289
CUST00050,Mohammed Khalsa,petersachar@example.org,485683.8,0.9201352719608342
CUST00051,Gaurangi Sabharwal,amaradutta@example.net,10683.11,0.8599103823248837
CUST00052,Lavanya Barad,mkapadia@example.com,342446.63,0.7808972420757819
CUST00053,Dalaja Kari,arjunhans@example.com,137078.47,0.8256135733893175
CUST00054,Arya Boase,indali86@example.net,60218.33,0.7369490577877151
CUST00055,Ayaan D’Alia,pranav94@example.org,229593.23,0.9601408488340644
CUST00056,Radha Pai,rajata98@example.org,438547.21,0.6632572918229691
CUST00057,Ranveer Kumar,sarinaarav@example.net,252790.13,0.6268203086279566
CUST00058,Januja Sankar,narayanandipta@example.net,456750.78,0.9243229850298098
CUST00059,Charita Tripathi,nilima56@example.net,152730.17,0.8247482827923822
CUST00060,Joshua Handa,rraghavan@example.net,306440.25,0.615720885476343
CUST00061,Charvi Ravi,modibhavini@example.org,382442.85,0.7819329829514391
CUST00062,Ekanta Shroff,rsathe@example.org,390420.11,0.7780520790439264
CUST00063,Omkaar Chad,yutika95@example.org,5283.09,0.6893871045120095
CUST00064,Dayita Kar,mananbakshi@example.org,14640.99,0.9495124049937853
CUST00065,Vaishnavi Bora,osachdeva@example.net,439967.33,0.9076161776253071
CUST00066,Leena Talwar,jkohli@example.net,157219.49,0.5749078215925006
CUST00067,Hredhaan Sandal,patrickvasa@example.com,439614.75,0.9571882614781375
CUST00068,Zaid Dara,zdeol@example.com,47398.46,0.758975899226144
CUST00069,Saanvi Thaman,ksehgal@example.net,39260.2,0.8770589310606096
CUST00070,Shivani Lad,aradhanaverma@example.com,384088.04,0.605208329734898
CUST00071,Anvi Sarraf,mangalwahab@example.com,240264.78,0.7864155452028259
CUST00072,Ekaja Zachariah,devimatthew@example.org,136203.03,0.9251462076666607
CUST00073,Michael Kala,sachdevanikita@example.com,214453.28,0.6410732283400953
CUST00074,Ojasvi Bhatia,osharamachandran@example.net,271951.56,0.8638703597086898
CUST00075,Lajita Sood,pandeychanchal@example.com,104569.78,0.6840380052593849
CUST00076,Thomas Sura,anjalisarin@example.com,497598.93,0.8294475647849651
CUST00077,Lopa Nayar,dgandhi@example.org,221859.54,0.772557611645304
CUST00078,Meera Bala,sanghakrishna@example.com,64897.08,0.6466198549235697
CUST00079,Chandresh Lad,nnarang@example.com,172352.35,0.8029727489366103
CUST00080,Geetika Raghavan,oviya41@example.com,118906.79,0.6446934753141706
CUST00081,Charles Palla,ekapadbaria@example.org,40141.58,0.8213742716261425
CUST00082,Ryan Bahri,williamdate@example.com,118326.18,0.9393306055926349
CUST00083,Tejas Shroff,jyoti29@example.net,430519.52,0.580468660452121
CUST00084,Nihal Mukhopadhyay,baldevika@example.net,122812.29,0.8376604446674006
CUST00085,Mekhala Issac,kibeharsh@example.net,111047.22,0.6068940949517608
CUST00086,Jai Barman,priya51@example.net,468079.55,0.7955485301298724
CUST00087,Advik Salvi,bcherian@example.com,238972.16,0.887386352445024
CUST00088,Michael Saran,anamikayohannan@example.com,404711.01,0.6318762631756074
